name	state	fips	metro	immigration	native	white	black	male	population	elevation	high_temp	low_temp	diurnal_temp	particulate	precipitation	sunlight	uvb	smoking	smoking_lower	smoking_upper	female_smoking	male_smoking	radon	drinking	meat	diabetes	obesity	education	income	mammogram	all_cancer	all_cancer_male	all_cancer_female	colorectal	colorectal_lower	colorectal_upper	breast	breast_lower	breast_upper	prostate	prostate_lower	prostate_upper	lung	lung_lower	lung_upper	female_lung	male_lung	over_65_lung	under_65_lung
Carteret, NC	NC	37031	0	23.2055255467989	0.9	91.2	7.3	49.0999107488675	60466	0.00777	21.138575	16.139638	4.998937	12.075402	3.764136	17970.525085	1098.143301079	54.45	48.85	60	46.25	63.15	0.26	14	80	8.96	24.7	23.8	46.155	68.1	492.1	605.9	401.7	45	38.7	52	123.8	109.2	140	137.6	122.4	154.5	78.9	70.8	87.7	61.2	101.1	456.8	24.2
Caswell, NC	NC	37033	0	21.6418921971716	0.5	61.7	37.0	50.6191225905281	23501	0.18294	19.581719	9.962258	9.619461	13.867166	3.097872	16052.002276	1000.244822524	55.75	49.65	61.8	46.65	65.7	1.16	7	69	10.9	27.5	11.1	36.927	66.6	410.7	502.6	356.5	39	29.4	50.9	103	81.5	129	138	110.1	171.1	67.2	54.3	82.5	53.3	86.2	342.7	27.4
Catawba, NC	NC	37035	1	21.3296754787708	0.5	85.9	8.7	49.3220877298232	141685	0.30763	19.635666	10.487605	9.148061	14.447146	3.264783	16479.299090	1048.405235625	48	43.4	52.65	39.85	56.6	1	10	69	8.66	26.2	19.4	43.484	69.0	475.3	581.5	402.3	45.8	41.3	50.6	122.6	112.7	133.2	148.7	136.7	161.5	78.2	72.4	84.4	53.9	112.2	418.8	28.9
Chatham, NC	NC	37037	1	26.6193261531156	0.8	75.9	17.5	49.1962131808875	49329	0.14708	20.533390	10.633507	9.899883	13.663053	3.229305	16309.322828	1045.294277212	43.15	37.6	48.7	35.25	51.45	0.45	10	69	8.2	23.2	35.1	56.038	69.8	358.4	415.5	315.5	29.5	24.2	35.7	92.3	79.1	107.2	126.5	109.8	145.1	48.7	41.7	56.6	38.5	62.2	267.4	17.1
Cherokee, NC	NC	37039	0	20.0739451935624	2.5	96.0	1.8	48.5060498806486	24298	0.61825	17.410820	9.350267	8.060553	15.477968	4.064746	15895.041707	1043.83811972	59.2	53.25	65.15	49.55	69.7	1.7	9	80	9.16	25.2	15.9	38.144	60.6	479.3	556.3	420.6	49.5	40.4	60.5	127.3	104.5	154	108.5	88.7	132.3	71.5	60.4	84.5	51.9	97.8	435.4	18.9
Chowan, NC	NC	37041	0	15.7559331966012	0.6	61.1	37.9	46.8470329065125	14526	0.00885	20.648893	10.472186	10.176707	12.435273	3.395482	16360.353211	1002.316657265	43.85	38.2	49.45	32.95	56.55	0.38	10	69	9.76	29.4	15.7	36.761	71.2	452.6	561.8	380	54.3	41	71.2	95.1	70.7	126.1	141.1	108.5	181.4	75.6	59.7	95	57.8	103	413	26.8
Clay, NC	NC	37043	0	27.0446980504042	0.7	98.6	0.9	48.6837606837607	8775	0.70862	16.641800	8.822301	7.819499	15.425419	4.301244	15964.354212	1056.514604638	58.1	52.05	64.15	48.35	68.6	1.56	3	113	8.54	23.4	18.6	35.109	59.0	489.5	631.3	366.4	52.4	37.1	73.1	112.4	81.2	154	138.1	105.3	180.9	73.8	56.3	96.3	43.2	110.7	417.7	24
Cleveland, NC	NC	37045	0	15.7700228196137	0.4	77.4	21.2	48.0916426931985	96287	0.26736	20.060542	11.126307	8.934235	14.560650	3.371913	16597.899024	1047.977905832	52.3	47	57.65	43.5	62.2	1.36	9	69	10.54	24	15.7	38.208	65.3	508	648.9	406.8	58.2	52.1	64.8	117.8	106	130.7	173.7	157.9	190.7	84.9	77.6	92.8	59	121.2	429.9	35
Columbus, NC	NC	37047	0	11.0982885085575	3.5	64.0	31.3	48.0794169756525	54749	0.01688	22.109258	12.651051	9.458207	13.015757	3.484793	16734.061809	1098.569377285	51.1	45.5	56.8	41.75	62	0.33	9	80	10.44	30.4	12.0	35.421	65.7	447.5	573.1	366.7	45.1	38.1	53.2	107.8	92.6	125	140.2	121.2	161.3	76.8	67.5	87.1	52.9	114.3	383.4	32.5
Craven, NC	NC	37049	0	31.7160614673381	0.9	71.2	25.8	50.4746489347741	91436	0.00871	21.372611	11.626806	9.745805	12.376111	3.541662	16499.720558	1067.153961677	49.3	44	54.65	41.95	57.35	0.46	10	80	9.06	27.8	21.3	44.599	68.9	514.4	625.1	428.6	44.5	39.1	50.5	126.5	113.6	140.4	181.9	165.9	199.1	86.1	78.6	94.1	73.1	102.7	445.4	34.1
Cumberland, NC	NC	37051	1	32.3774774742422	2.4	57.4	36.3	50.574162521496	332168	0.05981	21.401700	11.337887	10.063813	13.289794	3.225522	16361.472976	1066.369347548	46.9	42.5	51.3	39.95	54.5	0.6	11	69	11	27.9	21.8	43.834	75.9	477.1	547.1	434.4	46.3	42.5	50.3	130	121.8	138.5	141	130.8	151.8	81.8	76.8	87.1	63.4	109.4	422.8	32.5
Currituck, NC	NC	37053	1	29.6705868585805	0.9	91.3	7.5	49.6536558548653	18190	0.00491	18.863069	14.662546	4.200523	12.574543	3.307005	17259.336351	1015.778678945	53.95	48.15	59.75	47.65	60.45	0.34	21	69	8.06	23.4	17.2	55.376	72.3	474.8	573.5	388.2	46.4	34.7	60.9	95.1	73.3	121.8	175	141.6	214.1	81.9	66.2	100.3	69.2	94.8	452.9	28.3
Dare, NC	NC	37055	0	28.5136323658751	0.7	95.7	2.9	50.3820869623252	29967	0.00635	19.604287	16.123745	3.480542	11.941879	3.543653	17819.729858	1059.573415364	55.6	49.85	61.3	49.3	61.85	0.17	25	69	7.6	22.3	32.1	53.889	74.5	455.9	496.9	419	41.9	33.3	52.3	146	123.9	171.4	135	113.3	160	71.4	60	84.3	61.5	82.2	404.4	23.2
Davidson, NC	NC	37057	0	18.3307899135237	0.7	87.8	9.4	48.9779009276992	147246	0.23902	19.915767	10.359200	9.556567	14.168947	3.005350	16371.140394	1053.258399367	51.6	46.55	56.65	42.7	61.1	0.61	9	69	9.54	25	16.3	44.249	66.3	476.9	561.8	419.2	49.7	45.1	54.7	116.7	107.1	127	127.7	116.6	139.5	89.8	83.7	96.4	68.2	119.3	476.9	33.9
Davie, NC	NC	37059	1	23.860811930406	0.5	91.2	7.2	49.22922348213	34835	0.23545	19.811649	10.591959	9.21969	14.278117	3.044823	16329.647488	1045.307020262	50	44.3	55.7	44.35	55.95	0.93	7	69	8.74	23.9	23.6	49.727	66.8	461.8	550.5	401.3	40.3	32.7	49.3	97.2	80.7	116.2	133.5	113.2	156.5	78.4	67.7	90.5	65.9	95.9	426.6	28
Duplin, NC	NC	37061	0	18.0562245478828	0.5	59.4	29.3	49.5628070032407	49063	0.0302	21.629437	11.884213	9.745224	12.785729	3.450485	16258.248763	1086.728423633	48.9	43.05	54.75	38.55	59.9	0.39	7	80	10.2	27.2	10.1	32.816	59.6	418.5	498	368.6	34.9	28.3	42.6	103.7	87.8	121.6	124.3	105.4	145.7	71.1	61.6	81.6	46.8	106.4	377.6	26.7
Durham, NC	NC	37063	1	31.6196621056377	0.8	52.2	40.2	48.1967095659027	223314	0.11206	20.238004	10.339146	9.898858	13.520995	3.221316	16128.601518	1020.534454475	44.1	39.2	49.05	39.05	49.8	0.53	12	69	8.7	24.2	44.1	49.894	76.1	477.8	571.7	413	40.7	37	44.7	128.5	119.7	137.9	178.3	166.2	191	74.3	69.1	79.8	59.8	94.7	410.7	25.6
Edgecombe, NC	NC	37065	1	16.867446693865	0.4	40.4	57.8	46.4805956191778	55606	0.02915	20.761770	10.285821	10.475949	12.832495	3.171652	15998.141086	1039.611379921	51.35	45.7	57.05	41.45	63.4	0.42	9	80	11.8	35.1	10.1	32.665	70.0	535.2	683.5	445.7	64.8	55.5	75.3	133.3	115.7	153	183.5	158.9	210.9	91.8	80.6	104.1	55.8	148.3	476	36.2
Forsyth, NC	NC	37067	1	22.5687810135707	0.6	69.5	26.2	47.7728732597765	306811	0.26647	19.338555	10.255022	9.083533	14.233260	3.047025	16199.221752	1006.132268155	45.5	41.1	49.95	39.45	52.35	1.85	11	69	8.18	23.5	31.2	46.749	71.8	483.2	579.7	417.8	38.4	35.6	41.4	127.8	120.9	135	165.6	156.7	174.8	74	70.1	78	58.5	96.4	403.9	26.2
Franklin, NC	NC	37069	1	26.8858580568774	0.8	66.7	30.4	49.3313584426576	47260	0.10035	20.291061	10.468917	9.822144	13.270234	3.166202	15987.966380	1010.534656897	51.35	45.6	57.1	44.1	59.15	0.73	16	69	9.98	29.3	15.2	43.71	69.4	448.5	538	389.3	44.3	36.7	53.1	116.3	100	134.6	166.5	143.1	192.5	77.9	67.7	89.1	58.4	105.3	434.8	26.2
Gaston, NC	NC	37071	1	16.3239233695775	0.6	83.7	14.2	48.3775904184067	190365	0.23437	20.382937	11.019424	9.363513	14.440784	3.175696	16579.135029	1048.171192332	51.2	45.75	56.6	42.95	60.25	0.76	9	69	10.04	26	18.1	43.253	67.0	499.6	615.8	421.8	54.9	50.5	59.5	120.9	112.2	130	161.5	150	173.6	86	80.6	91.7	68.6	111.6	452.9	33
Gates, NC	NC	37073	0	20.4921339249697	0.8	59.8	39.5	49.0205401293267	10516	0.01678	20.298257	9.997442	10.300815	12.719361	3.357117	15870.935159	1002.316657265	50.7	44.7	56.7	40.65	61.8	0.42	8	69	11	30.7	10.5	45.682	68.4	458.2	484.8	435.7	57	39.9	79	149.4	111.8	196.3	127.3	90.7	174.4	73.2	53.8	97.5	64.9	86.2	334.7	35.3
Graham, NC	NC	37075	0	13.4564293304995	7.5	92.6	0.3	48.792693606906	7993	0.82248	16.206184	8.041646	8.164538	15.309241	4.363949	15728.093673	1052.361628998	60.05	53.5	66.6	51.65	69.05	1.36	8	80	8.86	25.5	13.0	28.447	46.0	429	467.8	403.5	37.3	22.5	58.9	123.6	83.7	177.2	91.7	57.6	140.1	64.2	45.1	89.6	60.2	68.2	303.6	
Granville, NC	NC	37077	0	26.8339810728323	0.9	61.5	35.5	52.5464967627531	48498	0.12757	19.916855	9.806005	10.11085	13.528638	3.142670	16023.054086	1000.656452181	51.7	46.55	56.8	41.75	62.75	0.54	10	69	10.14	29.9	13.8	48.21	65.2	556.1	764.1	386.5	63.8	54.7	74.1	119.8	103	138.8	188.9	164.5	215.8	89.5	78.6	101.5	52.5	135.7	444.1	38.2
Greene, NC	NC	37079	1	23.3190190982032	0.5	52.5	41.5	51.3755665647728	18974	0.02464	21.107235	10.792123	10.315112	12.764609	3.269860	16089.719885	1050.558743321	47.2	41.75	52.7	35.85	59.95	0.36	5	80	11.12	30.8	9.2	41.488	63.5	440.9	569	353.9	40.7	29.3	55.1	106.9	80.9	138.9	162.9	126.9	205.8	72.4	56.7	91	47.8	104.1	354.2	31.6
Guilford, NC	NC	37081	1	23.5846277314424	0.8	65.5	29.9	47.9111645228097	421048	0.25277	19.551651	10.187512	9.364139	14.015447	3.114397	16199.767970	1012.679938201	48.35	44.45	52.25	41.8	55.7	0.59	12	69	9.02	23.5	32.4	45.676	69.2	524.2	638.5	444.8	47.7	45	50.6	133.7	127.5	140.2	203.9	195.1	212.9	76.6	73.1	80.3	60.5	98.8	418.3	27.2
Halifax, NC	NC	37083	0	12.502322125209	3.5	43.0	53.0	47.5579571204462	57370	0.04949	20.326391	10.074980	10.251411	13.033302	3.141550	15949.906222	999.715562212	48.45	42.9	54.05	38.1	61.1	0.54	5	69	12.16	33.2	11.4	30.439	67.2	506.7	615.3	441.6	50	42.7	58.2	144.5	127.2	163.7	185.7	163.9	209.6	78.2	69.1	88.4	55.4	113.6	395	32.4
Harnett, NC	NC	37085	0	31.6097143671879	1.4	72.3	23.1	49.3523757209558	91025	0.07591	21.086498	11.009435	10.077063	13.393953	3.277538	16256.956539	1047.55541757	48.2	42.6	53.75	40.85	56	0.43	10	69	9.4	27.8	16.0	42.853	66.8	399.5	458.9	353.9	41.7	35.9	48.1	106.5	94.4	119.8	114.7	100.4	130.3	72	64.4	80.4	51.9	98.3	379.9	27.5
Haywood, NC	NC	37087	1	17.2225911026052	0.9	97.5	1.4	47.9281180019618	54033	0.95881	14.561549	5.779815	8.781734	14.962840	3.731906	16005.713251	1064.243806107	55.7	50.35	61.1	46.95	65.6	1.24	8	80	8.5	22.8	20.6	41.377	66.9	488.8	583.1	420.6	39.1	33.2	45.9	126.6	111.4	143.5	154.4	137.4	173.2	76.7	68.5	85.7	65.2	93.1	405.6	29.1
Henderson, NC	NC	37089	1	25.4843800054578	0.7	93.4	3.3	48.4126361118276	89173	0.68983	16.763631	8.600464	8.163167	14.877615	3.955699	16477.921591	1072.873937708	50.05	44.75	55.4	42.6	58.2	2.61	9	80	7.56	23.8	27.3	46.446	69.5	505.1	597	439.2	39.9	35.5	44.9	131.6	119.8	144.5	176.5	163	190.9	69.7	64	75.8	62.7	78.6	382.1	24.5
Hertford, NC	NC	37091	0	14.2074968412186	1.5	38.0	60.1	45.9448696960311	22601	0.01995	20.322495	9.948491	10.374004	12.787317	3.296192	15921.375897	1001.055969639	51.2	45.4	57	39	66.4	0.43	6	69	12.56	32.8	15.7	30.878	67.2	459.6	562.4	397.3	60	47.8	74.4	127.2	102.1	156.8	144.5	116.3	177.9	67	54.1	82.2	37.6	110.5	330	29
Hoke, NC	NC	37093	1	34.8185141663403	12.3	46.1	38.4	50.4874279260536	33646	0.07779	21.370554	11.909768	9.460786	13.520465	3.200012	16437.808061	1065.71942646	48.5	42.55	54.45	36.85	60.95	0.49	13	69	11.54	29.5	15.1	42.927	65.6	369.1	465.8	298.4	40.4	30.4	52.4	83.9	65.8	105.3	103.1	78.1	133	80	65.6	96.4	47.6	127.8	403.7	33.2
Hyde, NC	NC	37095	0	18.4466019417476	0.6	63.2	35.4	52.8664606934432	5826		21.078957	12.343256	8.735701	12.050288	3.575087	16764.465907	1051.254686584	50.6	44.05	57.15	40.2	62.2	0.2	12	80	10.58	28.4	11.7	38.265	64.8	490.7	554.1	460.7	56.9	34.6	89.6	154.4	96.4	237.1	146.7	91	224.7	84	56.2	122.2			468.6	
Iredell, NC	NC	37097	0	25.4955199565572	0.5	82.9	14.0	49.0135333442035	122660	0.26671	19.675994	10.568278	9.107716	14.354063	3.163078	16379.907242	1048.262635053	50.75	46.45	55.05	41.8	60.3	1.1	13	69	8.42	23.6	21.6	48.962	67.1	473.9	575.5	402.4	46.5	41.9	51.6	119.5	109.3	130.4	168	154.6	182.2	72.3	66.5	78.5	53.9	96.9	397.9	25.2
Jackson, NC	NC	37099	0	29.1601792126084	11.2	86.9	1.8	48.8330666344615	33121	0.89574	15.346579	6.879459	8.46712	15.107839	4.607877	16071.433912	1054.654607337	56.2	50.2	62.15	49.25	63.6	1.36	13	80	9.62	27.1	27.0	37.19	63.0	491.1	594.4	421.7	57	46.9	68.8	117.2	96.6	141	153.4	128.6	181.6	65	54.4	77.1	53.6	81.3	357.2	22.7
Johnston, NC	NC	37101	1	29.2805806716245	0.7	78.9	15.9	49.6814659943426	121965	0.06621	20.889332	11.012785	9.876547	13.151131	3.240729	16173.997985	1048.338187054	49.25	43.8	54.65	41.6	57.3	0.36	11	69	9.38	26.8	19.3	49.745	68.9	428.2	535.2	358.8	44.3	39.3	49.8	100.7	91	111.2	140.6	126.6	155.7	68.7	62.4	75.4	42.8	105.2	376.5	24.2
Jones, NC	NC	37103	0	19.7069071531051	0.7	61.6	36.3	48.1745496580291	10381	0.01451	21.725272	12.047130	9.678142	12.468149	3.597274	16411.723831	1073.528404288	50.35	44.1	56.6	41.85	59.7	0.35	4	80	10.56	28.8	10.7	38.354	63.5	458.4	581	363.2	41.9	27.5	61.8	92.5	62.5	133.3	134.3	96.5	183.6	82.8	62.8	108.1	54.4	121.5	412.9	35.1
Lee, NC	NC	37105	0	21.7485549132948	0.7	70.8	20.8	49.3739804241436	49040	0.1125	20.917079	11.089970	9.827109	13.576173	3.237979	16270.419347	1045.01576398	47.5	42	53.05	38.2	57.35	0.53	10	69	9.58	24.5	18.0	44.12	66.6	505.5	563.2	464.7	52.3	44.7	60.7	141.9	124.5	161.1	135.4	117.5	155.4	87.7	77.9	98.5	67.4	114.1	458.5	34.1
Lenoir, NC	NC	37107	0	13.6613686455104	0.4	57.0	40.7	47.4651287553648	59648	0.02278	21.292945	11.165928	10.127017	12.681964	3.412593	16174.273301	1050.558743321	48.85	43.35	54.4	38.65	61.05	0.34	6	80	10.52	30.6	14.5	33.625	68.8	597.6	765.2	490.6	66.7	58.4	75.8	150.6	133.6	169.3	240.9	216.7	267.1	92.7	83	103.3	64.6	134.1	450	41
Lincoln, NC	NC	37109	0	24.263646416245	0.5	91.2	6.7	49.733458764503	63780	0.26778	19.986955	10.943244	9.043711	14.448255	3.258797	16510.145491	1048.539566368	50.45	44.85	56	41.25	59.95	1.35	7	69	9.3	23.2	17.8	47.45	60.5	469.8	581	389.1	43.4	36.9	50.7	115.6	101.5	131.3	162.1	143.4	182.5	76.7	68	86.1	57.4	104.1	425.9	26.1
McDowell, NC	NC	37111	0	16.8350338418022	0.6	92.9	4.4	49.825626912766	42151	0.48727	17.435271	9.262965	8.172306	14.668621	3.575174	16364.847548	1063.475686043	55.2	49.65	60.7	45.05	66.05	1.94	4	80	9.72	25.4	14.0	34.953	61.7	523.2	631.7	443.4	51.6	43.3	61	132	113.1	153.2	153.5	132.2	177.4	92.9	81.7	105.2	72.9	120.6	485.5	36.1
Macon, NC	NC	37113	0	26.4107634719966	0.7	97.7	1.3	47.9319714199457	29811	0.81081	15.409703	7.390590	8.019113	15.260036	4.640293	16146.891865	1053.371740473	54.4	48.75	60.05	46.1	63.8	1.49	9	80	7.84	21.2	19.5	38.615	64.7	437.7	512.3	380.8	41.4	34	50.3	121	101.4	143.7	116.6	98.6	137.6	73.3	63.1	85.1	55.1	97.6	357.3	32.3
Madison, NC	NC	37115	1	24.1906621115992	0.6	98.2	0.9	49.3200916730328	19635	0.77468	16.011100	7.289088	8.722012	14.789826	2.969947	15711.112126	1068.69324707	51.75	45.55	57.85	44.25	59.75	1.71	8	80	8.3	24.1	19.2	38.58	58.3	556	620.6	514.6	42.4	32	55.5	158	129.1	192.1	145.6	116.8	179.9	99.5	83.2	118.2	77.5	124.7	483.4	43.9
Martin, NC	NC	37117	0	13.5785007072136	0.5	52.9	45.7	46.3720548587504	25593	0.01885	20.860256	10.642357	10.217899	12.566955	3.289211	16073.713288	1047.377130052	47.75	41.95	53.45	37.65	59.9	0.41	5	80	11.44	31.5	12.2	34.766	72.7	437.2	596	339.8	51.9	41	65.1	119	95.9	146.3	189.3	156.2	227.6	65.1	53.1	79.2	43.6	94.4	344.7	24.6
Mecklenburg, NC	NC	37119	1	30.0870910294225	0.7	65.2	28.4	49.0984306654358	695454	0.2161	20.467674	11.007901	9.459773	14.322975	3.054106	16551.558972	1054.214472357	42.95	39.55	46.3	35.6	50.7	0.57	15	69	7.96	22.4	40.0	55.294	74.0	472.2	564.2	409.7	43.1	40.9	45.4	133.9	128.8	139.1	173.7	167	180.6	63.6	60.9	66.5	53.7	78.1	359.3	20.8
Mitchell, NC	NC	37121	0	15.9200643776824	0.9	98.4	0.3	48.8684898323453	15687	0.95077	15.031818	6.952906	8.078912	14.633448	3.422710	15746.175119	1023.684749542	53.45	47.7	59.25	43	64.7	1.65	5	80	9.48	24.7	14.4	32.743	56.3	448.6	526.3	397.6	46.2	33.9	62	93.4	69.1	124.6	146	114.6	184.1	73.8	59.1	91.5	53.2	99.9	392.7	27.6
Montgomery, NC	NC	37123	0	20.1816145291623	0.9	70.1	22.1	50.6338080680039	26822	0.16457	20.687614	11.156106	9.531508	13.963929	3.220881	16471.082211	1047.365061684	49.4	43.5	55.2	37.45	62.05	0.49	6	69	9.56	26.7	14.8	33.861	62.1	414	511.1	344.6	41.3	31.9	52.7	102	81.2	126.8	120.3	95.9	149.3	83.2	69.5	98.9	53.3	123	402.4	37
Moore, NC	NC	37125	0	24.1433043872448	1.0	81.0	15.8	48.180395618505	74769	0.13361	20.821807	11.641144	9.180663	13.717210	3.246602	16348.569896	1044.973687649	47.4	41.85	53.05	38.8	56.9	0.47	12	69	8.28	25.3	29.8	48.319	74.3	508.4	588.3	450	40.6	35.6	46.3	138	124.5	152.7	164.2	149.9	179.6	76.7	70.1	83.9	63.9	93	427.6	26
Nash, NC	NC	37127	1	20.5365889498433	0.8	62.7	34.4	48.1137039579044	87420	0.05128	20.541484	10.608286	9.933198	13.062675	3.146976	15987.849155	1029.120894226	45.85	40.7	51	38.3	54.55	0.53	11	69	10.18	28.5	19.1	44.499	74.1	469.4	542.1	419.3	53.2	47.2	59.8	128	115.2	141.9	141.1	126.5	156.9	68.8	62	76.1	47.8	99.3	337	30
New Hanover, NC	NC	37129	1	29.9762366538031	0.7	80.8	17.3	48.264267935898	160307	0.00801	21.799833	15.962097	5.837736	12.590396	3.804305	17681.470022	1110.749867914	53.9	48.8	59	48.25	60.1	0.27	16	80	8.44	22.8	36.1	48.553	74.5	469.3	503.7	452	39.5	35.7	43.6	130.9	121.4	141.1	109.4	100.2	119.2	79.7	74.3	85.4	68.8	94.7	438.9	27.7
Northampton, NC	NC	37131	0	16.8106344178904	0.7	39.5	59.8	47.917232636059	22086	0.03839	20.398546	9.923621	10.474925	13.029282	3.151991	15899.047578	999.715324783	50.9	45.05	56.7	39.75	64.25	0.47	5	69	12.22	33.9	12.0	30.578	69.2	466.5	611.4	362.6	49.2	38.3	62.5	123.7	98.4	154	216.8	182.7	256	68.5	56.1	83.4	43.2	102.9	373.6	24.4
Onslow, NC	NC	37133	1	45.7818765036087	1.6	74.6	19.7	55.1933756775631	150355	0.00945	21.919789	13.109600	8.810189	12.477298	3.689036	16933.902806	1109.870626619	49.75	45.25	54.25	42.6	57.1	0.34	14	80	9.78	27.2	17.7	43.561	69.8	524	601.5	472.1	46.1	40.1	52.6	127.9	115.2	141.7	139	123.5	155.8	96.1	87.6	105.2	83.5	112.8	529.4	33.4
Orange, NC	NC	37135	1	42.8479954466223	0.9	79.4	14.4	47.3986483628951	118227	0.15403	19.785207	10.291513	9.493694	13.656589	3.211772	16191.576580	1015.003208171	41.8	36.5	47.05	37.25	46.85	0.8	14	69	7.28	18.9	54.4	52.981	78.6	506.2	563.3	466	36.6	31.7	42.1	156	142.2	170.9	165.2	149.5	182.1	63.1	56.5	70.2	49.5	80.5	352.5	21.3
Pamlico, NC	NC	37137	0	17.878689059188	0.9	73.8	24.8	50.3556517705273	12934	0.00861	21.363408	12.109977	9.253431	12.191231	3.612531	16758.526733	1053.319080913	53.1	47.25	58.9	45.25	61.75	0.27	6	80	9.24	25.7	17.5	40.561	69.0	416.4	520.8	329.8	32.4	21.7	47.5	110	79.9	149.3	132.2	102.5	169.9	76.7	59.9	97.7	46	111.1	354.1	36.6
Pasquotank, NC	NC	37139	0	24.4590924349233	0.9	57.9	40.6	48.3995758947761	34897	0.00592	19.901389	11.858783	8.042606	12.499434	3.358387	16261.186942	1002.316657265	46.3	41.15	51.45	37.6	56.65	0.35	14	69	10.2	30.1	18.7	44.085	69.0	456.1	560	388.5	46.3	37.6	56.5	114.7	96	136.1	170.2	144	199.7	69	58.3	81.1	50.6	94	370.3	25.4
Pender, NC	NC	37141	1	28.9856943655425	0.9	73.5	23.9	50.2969670415267	41082	0.01082	21.900112	12.840350	9.059762	12.685019	3.629616	16732.256321	1105.698447754	53.6	47.95	59.25	46.05	61.55	0.31	11	80	9.24	25.5	17.8	44.338	66.3	426.1	479.7	386.1	33.7	27.4	41.1	106.8	91	124.8	108.9	92.3	127.6	67.2	58.3	77.2	60.9	75.1	341	27.6
Perquimans, NC	NC	37143	0	25.2037037037037	0.5	71.4	28.3	47.7304714989444	11368	0.00855	20.402721	10.881511	9.52121	12.449178	3.378683	16171.957369	1002.316657265	50.15	44.25	56.05	40	61.55	0.36	11	69	9.32	27.6	18.1	43.041	68.7	405.5	489.5	344	48.9	36	65.9	109.3	81.3	145.2	131.6	99.9	171.8	63.1	48	82.3	48.6	83.3	332.2	24.2
Person, NC	NC	37145	1	15.8202597714251	0.9	69.5	28.7	48.2497263004239	35623	0.18476	19.581066	10.001620	9.579446	13.703862	3.168952	16056.290266	1000.484516842	53.6	48.4	58.8	43.95	64.2	0.7	11	69	9.6	29.6	13.8	44.668	69.2	488.3	608.6	409.6	49.2	40.2	59.7	99	81.9	118.9	150.7	126.3	178.4	90.7	78.3	104.6	75.2	116	481.4	34.2
Pitt, NC	NC	37147	1	27.858956546735	0.5	62.9	34.1	47.4155069582505	133798	0.01864	21.079298	10.927161	10.152137	12.622143	3.309370	16136.717190	1050.558743321	45.65	40.5	50.8	40.3	51.8	0.37	11	80	9.4	29.3	28.2	38.592	72.6	489.6	600.1	416.1	47.3	42.1	52.9	147.4	135.2	160.4	170.3	155.1	186.5	70.3	63.9	77.2	44.7	107	394.8	23.4
Polk, NC	NC	37149	0	25.6405817174515	0.5	93.0	6.1	47.4350578476315	18324	0.37504	18.834469	10.373578	8.460891	14.792198	4.283449	16594.757889	1071.856044595	45.7	39.65	51.7	36.9	55.55	1.38	5	80	7.96	25.4	27.2	43.692	68.4	430.5	513	370.2	41.3	31.7	53.5	121.5	97.8	150.4	130	105.2	160.2	63.6	51.9	77.9	35.8	98.3	362.2	20.4
Randolph, NC	NC	37151	1	19.676108698513	0.8	90.1	5.9	49.4365830101032	130454	0.21776	20.147186	10.474097	9.673089	13.952452	3.189285	16342.619397	1046.08671124	49.3	44.35	54.35	40.05	59	0.48	11	69	8.18	24.7	13.0	40.346	61.7	473.8	561	411.6	43.1	38.5	48.1	116.7	106.5	127.7	153	140	167	84.1	77.8	90.8	68.6	104.4	427.8	34.4
Richmond, NC	NC	37153	0	17.3927073249435	2.3	65.7	31.0	49.0679494888755	46564	0.09696	21.300607	11.582797	9.71781	13.807481	3.197399	16525.826942	1066.605146428	51.45	45.9	56.95	40.1	64.35	0.41	9	69	9.8	30.3	10.0	30.439	64.7	493.1	598.3	423.6	46.7	38.6	56.1	113.9	96.6	133.4	157.8	135.4	182.9	86.8	75.8	99	63.5	120.4	434.7	36.4
Robeson, NC	NC	37155	0	14.6461181189634	39.0	33.7	25.5	48.6447919960434	123339	0.04783	21.796631	11.917998	9.878633	13.370943	3.238887	16609.266799	1094.17054197	49.65	44.85	54.55	40.3	60.25	0.39	9	80	12.12	33.2	12.1	29.667	59.9	484.7	621.8	393.2	52.2	46.5	58.4	117.6	106.2	130	216.8	198.7	236	81.2	74.1	88.8	52.2	123	382.3	37.6
Rockingham, NC	NC	37157	1	13.8730269266481	0.6	78.0	19.9	48.2649464798538	91928	0.21911	19.407842	9.899056	9.508786	14.068727	3.122025	16079.064318	1000.541326505	52.35	47.05	57.65	43.7	61.95	1.56	10	69	9.98	27.4	12.5	39.231	66.6	505.1	603.9	439.3	54.6	48.6	61.1	123.1	110.8	136.6	141.2	126.8	156.7	100.4	92.4	109	75.8	132.9	552.9	35
Rowan, NC	NC	37159	0	19.7995810916259	0.7	80.8	16.1	49.3938928955041	130340	0.23308	20.037320	10.553604	9.483716	14.247321	2.994773	16447.840216	1054.486454086	50.55	45.7	55.45	41.4	60.35	0.49	9	69	10.7	27	17.0	43.596	66.8	459.7	527.8	416.7	46.2	41.6	51.2	143.2	131.6	155.6	137.9	125.9	150.7	75.2	69.2	81.5	61	93.8	405.7	27.4
Rutherford, NC	NC	37161	0	13.5176859784545	0.5	87.5	11.5	48.1740568212531	62899	0.30504	19.426248	10.763856	8.662392	14.678643	3.665107	16508.825873	1054.967462099	49.85	44.45	55.15	39.8	60.95	1.37	8	80	8.98	23.6	14.6	35.364	69.1	520.8	644.6	436	58.1	50.9	66.1	133.4	118.1	150.2	148.1	130.9	167.1	81.9	73.3	91.2	55.2	118.9	428	31.8
